,funding_timing_1h,crypto_reversal_1h,equity_tsmom_1h
2023-05-12,0.0,,
2023-05-13,0.0,,
2023-05-14,0.0,,
2023-05-15,0.0,,
2023-05-16,0.0,,
2023-05-17,0.0,,
2023-05-18,0.0,,
2023-05-19,0.0,,
2023-05-20,0.0,,
2023-05-21,0.0,,
2023-05-22,0.0,,
2023-05-23,0.0,,
2023-05-24,0.0,,
2023-05-25,0.0,,
2023-05-26,0.0,,
2023-05-27,0.0,,
2023-05-28,0.0,,
2023-05-29,0.0,,
2023-05-30,0.0,,
2023-05-31,0.0,,
2023-06-01,0.0,,
2023-06-02,0.0,,
2023-06-03,0.0,,
2023-06-04,0.0,,
2023-06-05,-0.0009694188500000145,,
2023-06-06,0.0005413595612582256,,
2023-06-07,0.000781246830964033,,
2023-06-08,0.0011798455740998914,,
2023-06-09,0.0008780875368425978,,
2023-06-10,0.000990935379100888,,
2023-06-11,0.0006686432931504172,,
2023-06-12,0.0008731526281327007,,
2023-06-13,0.0012746885830363652,,
2023-06-14,0.001221290110614781,,
2023-06-15,0.000782283979455789,,
2023-06-16,0.0006634485751351171,,
2023-06-17,0.000420724674652595,,
2023-06-18,-0.0004165405928324706,,
2023-06-19,0.0002082872842903427,,
2023-06-20,-0.00017384918162166585,,
2023-06-21,0.0008463889790166768,,
2023-06-22,0.000734420851419948,,
2023-06-23,0.0006074549087178305,,
2023-06-24,0.0008657317439346723,,
2023-06-25,0.000969844942686704,,
2023-06-26,0.0010242653666228119,,
2023-06-27,0.0012478649074521009,,
2023-06-28,0.0008834058670110778,,
2023-06-29,0.0008029730646044175,,
2023-06-30,0.0014980139039375562,,
2023-07-01,0.001190463597311675,,
2023-07-02,0.001487746540853152,,
2023-07-03,0.002182647169290508,,
2023-07-04,0.0016055626479813956,,
2023-07-05,0.000706500371937091,,
2023-07-06,0.0008560329517499632,,
2023-07-07,0.0012141568654218116,,
2023-07-08,0.0005854810809602373,,
2023-07-09,0.0006748539884278149,,
2023-07-10,0.000910602046648501,,
2023-07-11,0.0006729739877073815,,
2023-07-12,0.0006192256940362739,,
2023-07-13,0.0006430484212034404,,
2023-07-14,0.0009528275558485788,,
2023-07-15,0.0003095615600061663,,
2023-07-16,0.00028840518525918846,,
2023-07-17,0.0003000431289534866,,
2023-07-18,0.0003000431289534866,,
2023-07-19,0.00018229631433475113,,
2023-07-20,0.00014286693518128502,,
2023-07-21,0.00013765808406929203,,
2023-07-22,-0.00048731024606696316,,
2023-07-23,-0.0005369188502237776,,
2023-07-24,-0.0009668391364007212,,
2023-07-25,-0.0014067515622114835,,
2023-07-26,8.437222182311466e-05,,
2023-07-27,6.919755449663612e-05,,
2023-07-28,-0.0004475353177385566,,
2023-07-29,-0.0004892355449072072,,
2023-07-30,-0.0025209702984125837,,
2023-07-31,-0.00047919837330223647,,
2023-08-01,-0.0003759301950795324,,
2023-08-02,0.00023974435567253316,,
2023-08-03,0.00015997259159350463,,
2023-08-04,-0.0004332262661295161,,
2023-08-05,0.00011895215654833535,,
2023-08-06,9.442655226310492e-05,,
2023-08-07,0.00011528350117639974,,
2023-08-08,-0.0008587875922949628,,
2023-08-09,0.00012598678477737657,,
2023-08-10,0.00014873699905892934,,
2023-08-11,0.00013125388777535107,,
2023-08-12,0.00014043263658103378,,
2023-08-13,0.00013966393345810069,,
2023-08-14,-0.002920116952113583,,
2023-08-15,0.0001010669683794152,,
2023-08-16,-0.0003568402278780747,,
2023-08-17,-0.00061619199696894,,
2023-08-18,-0.0004999999999999449,,
2023-08-19,0.0,,
2023-08-20,0.0,,
2023-08-21,0.0,,
2023-08-22,-0.0004787210021128807,,
2023-08-23,-0.0005367239101449206,,
2023-08-24,-0.0005495166526242601,,
2023-08-25,-0.0005130925504499562,,0.0
2023-08-26,0.0,,
2023-08-27,0.0,,
2023-08-28,0.0,,0.0
2023-08-29,-0.0015024448810986302,,0.0
2023-08-30,6.289345806842483e-05,,-0.000913269177679088
2023-08-31,8.101732962928487e-05,,-0.0007862952681637614
2023-09-01,8.529147036506757e-05,,-0.001956547479888271
2023-09-02,0.0001164394918968803,,
2023-09-03,0.00013955697129475197,,
2023-09-04,7.269585163505177e-05,,
2023-09-05,0.00014707096177146717,,0.005774069729491682
2023-09-06,-0.00036083328130298575,,0.002988722662370824
2023-09-07,-0.0008809408995011925,,0.0010665579042448137
2023-09-08,0.0005871899909148937,,-0.00012124223248044519
2023-09-09,0.0003000431289534866,,
2023-09-10,-0.0005155457810309683,,
2023-09-11,5.714271457568643e-06,,-0.004646075562768526
2023-09-12,-0.0004981038478208966,,-0.006419736282621047
2023-09-13,-0.00039379468967803977,,-0.0011721728893073768
2023-09-14,-0.00030919208606394744,,0.003262317241187196
2023-09-15,0.00021193703104538386,,-0.005011542422085458
2023-09-16,-0.0010942245144394125,,
2023-09-17,-0.0004625150392529864,,
2023-09-18,3.44667499845297e-05,,-0.0020005735416938064
2023-09-19,-0.00017295672434525233,,0.0009063186671005585
2023-09-20,0.00038572215492083117,,0.000573748587586298
2023-09-21,0.00030029485132865297,,0.01072853425442788
2023-09-22,0.0003000431289534866,,-0.0012883626069852827
2023-09-23,0.0003000431289534866,,
2023-09-24,0.0003000431289534866,,
2023-09-25,0.0002761073509147671,,0.0023883613393254066
2023-09-26,0.0002476791619823171,,0.008419144550618762
2023-09-27,-0.000854821767673597,,0.0032129426551696927
2023-09-28,0.00017382176612823486,,-0.005048170095998339
2023-09-29,0.00026348855117053205,,-0.0012117235017573558
2023-09-30,-0.0003850609019961926,,
2023-10-01,-0.00034381019969853543,,
2023-10-02,0.0002021462300747512,,0.00716745922197104
2023-10-03,0.0001929792206554204,,0.003557325867065364
2023-10-04,0.00018681608918269532,,0.0009939104973792912
2023-10-05,0.00027616405310992853,,-7.623971695136511e-05
2023-10-06,0.0002535093930189358,,-0.003322484492966127
2023-10-07,0.0002948668510192043,,
2023-10-08,0.00027472648789039766,,
2023-10-09,0.00014388731216086192,,0.0020829202885328524
2023-10-10,-0.0003871705328662989,,0.0027147837371086503
2023-10-11,-0.00021884653744141946,,0.004487830190556208
2023-10-12,0.0003014300776396084,,-0.011460838071067014
2023-10-13,0.00030255605131035423,,-0.001824364815111057
2023-10-14,0.0003000431289534866,,
2023-10-15,0.0003000431289534866,,
2023-10-16,0.0003600659753866253,,-0.008120786666489521
2023-10-17,0.00029937903805521415,,-0.0004247354492841193
2023-10-18,0.00019035670157618867,,0.003427007209957589
2023-10-19,-0.00045409724454359424,,0.010531923417564482
2023-10-20,-0.00024505438436617233,,0.0030347508246471033
2023-10-21,-0.000294712933680108,,
2023-10-22,0.0002109440708801813,,
2023-10-23,0.000606287145213491,,-0.006705698613580724
2023-10-24,0.0006098272883328093,,-0.0027878037621725804
2023-10-25,0.0006849500333412362,,0.000814689695430193
2023-10-26,0.0007713093493615375,,0.005593412523164698
2023-10-27,0.0007447235538586838,,-0.0019473433495685866
2023-10-28,0.0009914209912562644,,
2023-10-29,0.0008814735365882953,,
2023-10-30,0.0012144996167635647,,-0.006322628026039667
2023-10-31,0.001142036282247405,,-0.0014102335110203201
2023-11-01,0.0009839353730711764,,-0.0018052859915285158
2023-11-02,0.0006922164049345536,,0.009099760264619006
2023-11-03,0.0007098060437962239,,0.006175810347025079
2023-11-04,0.0012800899365814633,,
2023-11-05,0.00123834686125468,,
2023-11-06,0.0008431434463582743,,-0.004281656606628936
2023-11-07,0.000511141141708249,,0.0013128506826927122
2023-11-08,0.0012027997263570622,,0.0024080933346939393
2023-11-09,0.002098414862703013,,-0.0002963484906368663
2023-11-10,0.002060135811695174,,8.893279396504639e-05
2023-11-11,0.002181441808990936,,
2023-11-12,0.0017588290273542473,,
2023-11-13,0.0014728942309440995,,-0.0008906788863312087
2023-11-14,0.001100875488174502,,-0.01177076136537869
2023-11-15,0.0009775375221452443,,-0.0020686273129094657
2023-11-16,0.0008073508667667539,,0.004354433195192353
2023-11-17,0.0008024097710541689,,-0.0011248488041604165
2023-11-18,0.00046839160339251507,,
2023-11-19,0.0006018821021660514,,
2023-11-20,0.0013124647941087364,,-0.0025814132703426695
2023-11-21,0.00031733400482680807,,-0.002576635727612908
2023-11-22,0.00044513954978220305,,-0.0009593889688164214
2023-11-23,0.0002824013127291636,,
2023-11-24,0.0003355755997520582,,-0.003818408647729088
2023-11-25,0.0003187943472950927,,
2023-11-26,0.0006329746135194103,,
2023-11-27,0.00040710685280109793,,0.0011933837232944722
2023-11-28,0.0002869448215121473,,0.002006680433682906
2023-11-29,0.0003341582561726675,,0.004654320200451645
2023-11-30,0.0005427189579858549,,-0.008251083825454142
2023-12-01,0.0007642974969641614,,0.005346827054155678
2023-12-02,0.0012675809038049657,,
2023-12-03,0.0012086563994944122,,
2023-12-04,0.0015383032185238843,,-0.005515136295038192
2023-12-05,0.0009126974108208952,,0.002184698066681978
2023-12-06,4.2202304506133714e-05,,0.005004029606809235
2023-12-07,0.00038606848159528084,,-0.0035933139044358464
2023-12-08,0.0013506624709500592,,-0.0023726016656020477
2023-12-09,0.0012994401266417377,,
2023-12-10,0.0008976225098371593,,
2023-12-11,0.002170567902004983,,0.0004685680986971086
2023-12-12,0.0012037449776090003,,-0.0018645266050357767
2023-12-13,0.0010285417751587644,,0.001461303000473535
2023-12-14,0.0009926420991621665,,0.006509600240496072
2023-12-15,0.000711546378781458,,-0.006323629271849929
2023-12-16,0.0005742661024503715,,
2023-12-17,0.0007089146683272318,,
2023-12-18,0.0005123280631236238,,0.003059345868005048
2023-12-19,0.0007241724366424673,,0.005455568838337532
2023-12-20,0.0012418643641289862,,-0.006665331262428964
2023-12-21,0.0016948788523503122,,-0.003545870405370466
2023-12-22,0.002347630634360609,,-0.002565540763693419
2023-12-23,0.0015527514917410556,,
2023-12-24,0.0015095435451339956,,
2023-12-25,0.0014984917145111076,,
2023-12-26,0.0013902807586174681,,-0.0033630563974900163
2023-12-27,0.0023141147796639228,,0.001246731219493924
2023-12-28,0.0019782748742798173,,-0.0001414088383612233
2023-12-29,0.0019948947951167195,,-0.0031273558855847705
2023-12-30,0.0008338525776598882,,
2023-12-31,0.0011395062799752775,,
2024-01-01,0.0018907219113997176,,
2024-01-02,0.0022578650386497756,,0.0005496920430501095
2024-01-03,0.0015668746791204224,,0.0016785196386526202
2024-01-04,0.0011102663730164775,,-7.074945186247295e-05
2024-01-05,0.0007414574854518463,,0.0015219472339704776
2024-01-06,0.0004543844959377097,,
2024-01-07,0.0006999862426830816,,
2024-01-08,0.001322524879515674,,-0.009645564949460672
2024-01-09,0.0017036987991145836,,-0.0049264839366111035
2024-01-10,0.001793974951448396,,-0.000503184609533136
2024-01-11,0.001313214882900704,,-0.004206489561590199
2024-01-12,0.0008451680579373289,,-0.0019440511391513038
2024-01-13,0.0004819012569858838,,
2024-01-14,0.0006834650711122769,,
2024-01-15,0.0005018042661886213,,
2024-01-16,0.00036207885453598543,,-0.0061352250964250565
2024-01-17,0.0003958666227870111,,0.0004708711579421987
2024-01-18,0.0006540213502874703,,-0.0022735206564572508
2024-01-19,0.000719711228911013,,-0.0014656118577807131
2024-01-20,0.0003800023264286523,,
2024-01-21,0.00038833756904943506,,
2024-01-22,0.00029830140483033674,,-0.00010425215030296364
2024-01-23,0.0004243317422270021,,-0.0019199983614844873
2024-01-24,0.0004319420977347832,,-0.0016466028711855651
2024-01-25,0.00036086447832417434,,0.000598513989324756
2024-01-26,0.00031978579394431605,,0.00044166347367080583
2024-01-27,0.00037413634013105934,,
2024-01-28,-0.0003351611672675059,,
2024-01-29,-0.00037957754675010946,,0.00041549913352811885
2024-01-30,-0.00040089627013384366,,-0.0015429780920238612
2024-01-31,0.000115613160034167,,0.000505213550839434
2024-02-01,-0.00035875934095552786,,0.0013982139435890772
2024-02-02,0.00022364756399406716,,-0.008379846613751685
2024-02-03,-0.001073718215935493,,
2024-02-04,-0.000813198929144221,,
2024-02-05,0.00025072253162616853,,-0.0014887058426283906
2024-02-06,-0.00046393096989516547,,-0.003993918364028959
2024-02-07,-0.0002428419760279743,,0.0015128316979793333
2024-02-08,0.0006578337977032334,,0.00045919774828773186
2024-02-09,0.001085660519002385,,0.0032374044028418147
2024-02-10,0.0010325033465898859,,
2024-02-11,0.000635410317912477,,
2024-02-12,0.0009225128237528857,,0.0018158604709157533
2024-02-13,0.0012423021652523403,,-0.005793059223136887
2024-02-14,0.0013094194876452914,,-0.0071640788991109705
2024-02-15,0.0009274158602978755,,-0.00734438285566863
2024-02-16,0.0005147393515811949,,-0.0008175664352803036
2024-02-17,0.0006563166330686432,,
2024-02-18,0.00045730493774143177,,
2024-02-19,0.0009671225949763329,,
2024-02-20,0.0006891243157600702,,-0.005328012462103349
2024-02-21,0.0005268862143710251,,-0.0008014792201272991
2024-02-22,0.0005021783917917855,,-0.0029183988865528754
2024-02-23,0.0004881872639406204,,-0.0029058406041548857
2024-02-24,0.0003398924430624284,,
2024-02-25,0.0010585212774696373,,
2024-02-26,0.0010400864492627893,,-0.0015468211655081943
2024-02-27,0.0016368147800662758,,-0.00011925522300459956
2024-02-28,0.003268892187442418,,-0.005778108637604529
2024-02-29,0.0023572133428957365,,-0.005544101932786427
2024-03-01,0.0014251043012754039,,0.006214304610047128
2024-03-02,0.001454280846185707,,
2024-03-03,0.0020514836304517114,,
